Index,Age,BusinessTravel,Department,DistanceFromHome,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,YearsAtCompany
270,36,Travel_Rarely,Research & Development,6,Life Sciences,Male,Laboratory Technician,4,Married,3210,No,16,15
271,55,Travel_Rarely,Research & Development,1,Medical,Male,Manager,1,Single,19045,Yes,37,36
272,47,Non-Travel,Research & Development,29,Life Sciences,Male,Manager,2,Married,11849,Yes,10,10
273,28,Travel_Rarely,Research & Development,9,Medical,Male,Research Scientist,4,Married,2070,No,5,5
274,37,Travel_Rarely,Sales,6,Medical,Male,Sales Executive,4,Married,6502,No,7,5
275,21,Travel_Rarely,Research & Development,3,Medical,Male,Research Scientist,3,Single,3230,No,3,3
276,37,Non-Travel,Research & Development,1,Medical,Female,Research Director,4,Divorced,13603,Yes,15,5
277,35,Travel_Rarely,Research & Development,22,Life Sciences,Female,Manager,2,Divorced,11996,No,10,7
278,38,Travel_Rarely,Sales,7,Medical,Female,Sales Executive,1,Divorced,5605,Yes,8,8
279,26,Travel_Frequently,Research & Development,1,Life Sciences,Female,Manufacturing Director,2,Divorced,6397,No,6,6
280,50,Travel_Rarely,Research & Development,4,Life Sciences,Male,Research Director,2,Divorced,19144,No,28,10
281,53,Travel_Rarely,Research & Development,3,Medical,Male,Research Director,3,Married,17584,Yes,21,5
282,42,Travel_Rarely,Sales,1,Life Sciences,Male,Sales Executive,3,Married,4907,No,20,20
283,29,Travel_Frequently,Sales,2,Life Sciences,Male,Sales Executive,4,Single,4554,No,10,10
284,55,Travel_Rarely,Research & Development,20,Technical Degree,Male,Laboratory Technician,4,Married,5415,Yes,12,10
285,26,Travel_Frequently,Research & Development,11,Medical,Male,Healthcare Representative,1,Married,4741,Yes,5,5
286,37,Travel_Rarely,Research & Development,1,Life Sciences,Female,Research Scientist,4,Single,2115,No,17,17
287,44,Travel_Frequently,Research & Development,24,Life Sciences,Male,Laboratory Technician,3,Divorced,3161,Yes,19,1
288,38,Travel_Rarely,Research & Development,23,Life Sciences,Male,Healthcare Representative,4,Divorced,5745,No,10,2
289,26,Travel_Rarely,Research & Development,16,Medical,Male,Laboratory Technician,2,Divorced,2373,Yes,5,3
290,28,Travel_Rarely,Research & Development,8,Life Sciences,Female,Research Scientist,4,Single,3310,No,5,5
291,49,Travel_Frequently,Research & Development,10,Life Sciences,Female,Research Director,1,Single,18665,Yes,22,3
292,36,Travel_Rarely,Research & Development,3,Technical Degree,Male,Research Scientist,2,Single,4485,No,10,8
293,31,Travel_Frequently,Sales,5,Marketing,Female,Sales Representative,2,Divorced,2789,No,2,2
294,26,Travel_Rarely,Sales,4,Marketing,Male,Sales Executive,4,Single,5828,Yes,8,8
295,37,Travel_Frequently,Research & Development,9,Medical,Male,Research Scientist,4,Married,2326,Yes,4,4
296,42,Travel_Frequently,Sales,26,Marketing,Female,Sales Executive,2,Married,13525,No,23,20
297,18,Travel_Rarely,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,Single,1420,No,0,0
298,35,Travel_Rarely,Sales,16,Marketing,Male,Sales Executive,2,Married,8020,No,12,11
299,36,Travel_Frequently,Research & Development,18,Life Sciences,Male,Laboratory Technician,4,Married,3688,No,4,1
300,51,Travel_Rarely,Research & Development,2,Medical,Male,Manufacturing Director,2,Divorced,5482,No,13,4
301,41,Travel_Rarely,Sales,2,Life Sciences,Male,Manager,2,Single,16015,No,22,22
302,18,Travel_Rarely,Sales,10,Medical,Female,Sales Representative,3,Single,1200,No,0,0
303,28,Travel_Rarely,Research & Development,16,Medical,Male,Healthcare Representative,1,Single,5661,No,9,8
304,31,Travel_Rarely,Sales,7,Technical Degree,Male,Sales Executive,4,Married,6929,No,10,8
305,39,Travel_Rarely,Research & Development,1,Medical,Male,Healthcare Representative,4,Divorced,9613,No,19,18
306,36,Non-Travel,Research & Development,24,Life Sciences,Female,Laboratory Technician,2,Married,5674,No,11,9
307,32,Travel_Rarely,Sales,7,Life Sciences,Male,Sales Executive,3,Married,5484,No,13,13
308,38,Travel_Rarely,Research & Development,25,Life Sciences,Female,Research Director,2,Married,12061,No,19,10
309,58,Non-Travel,Research & Development,1,Life Sciences,Male,Healthcare Representative,3,Divorced,5660,Yes,12,5
310,31,Travel_Rarely,Research & Development,5,Technical Degree,Male,Research Scientist,4,Married,4821,Yes,6,5
311,31,Travel_Rarely,Human Resources,2,Human Resources,Male,Human Resources,1,Married,6410,No,9,2
312,45,Travel_Frequently,Research & Development,7,Life Sciences,Male,Laboratory Technician,1,Divorced,5210,No,24,24
313,31,Travel_Rarely,Research & Development,2,Life Sciences,Male,Research Scientist,4,Divorced,2695,Yes,3,2
314,33,Travel_Frequently,Research & Development,5,Life Sciences,Female,Manager,2,Married,11878,No,12,10
315,39,Travel_Rarely,Research & Development,10,Medical,Male,Manager,1,Married,17068,Yes,21,21
316,43,Travel_Frequently,Research & Development,10,Life Sciences,Female,Laboratory Technician,4,Single,2455,No,9,8
317,49,Travel_Rarely,Research & Development,1,Technical Degree,Female,Healthcare Representative,3,Single,13964,Yes,25,7
318,52,Travel_Rarely,Research & Development,8,Medical,Male,Research Scientist,2,Married,4941,No,11,8
319,27,Travel_Rarely,Research & Development,5,Life Sciences,Female,Research Scientist,2,Single,2478,Yes,4,4
320,32,Travel_Rarely,Sales,8,Technical Degree,Female,Sales Executive,2,Married,5228,Yes,13,13
321,27,Travel_Rarely,Sales,2,Life Sciences,Male,Sales Executive,3,Single,4478,Yes,5,5
322,31,Travel_Rarely,Sales,7,Marketing,Male,Sales Executive,4,Divorced,7547,No,13,7
323,32,Travel_Rarely,Research & Development,2,Medical,Female,Research Scientist,4,Single,5055,No,10,7
324,28,Travel_Rarely,Research & Development,2,Medical,Male,Research Scientist,4,Married,3464,Yes,5,3
325,30,Travel_Rarely,Research & Development,28,Medical,Female,Research Scientist,4,Married,5775,No,11,10
326,31,Travel_Frequently,Research & Development,7,Life Sciences,Female,Manufacturing Director,3,Married,8943,No,10,10
327,39,Travel_Frequently,Research & Development,7,Medical,Male,Manager,4,Married,19272,No,21,21
328,39,Travel_Rarely,Sales,3,Medical,Female,Sales Executive,3,Married,5238,Yes,12,1
329,33,Travel_Frequently,Sales,10,Marketing,Male,Sales Executive,4,Single,4682,No,9,7
330,47,Travel_Rarely,Research & Development,5,Life Sciences,Male,Research Director,3,Married,18300,No,21,3
331,43,Travel_Frequently,Research & Development,10,Life Sciences,Female,Laboratory Technician,3,Divorced,5257,No,9,9
332,27,Non-Travel,Sales,1,Marketing,Male,Sales Executive,2,Married,6349,Yes,6,5
333,54,Travel_Frequently,Research & Development,20,Life Sciences,Female,Research Scientist,3,Single,4869,No,20,4
334,43,Travel_Rarely,Research & Development,7,Life Sciences,Female,Healthcare Representative,1,Married,9985,No,10,1
335,45,Travel_Rarely,Research & Development,8,Other,Male,Research Scientist,4,Married,3697,No,12,10
336,40,Travel_Rarely,Sales,1,Medical,Male,Sales Executive,4,Married,7457,Yes,6,4
337,29,Travel_Rarely,Research & Development,8,Other,Male,Laboratory Technician,1,Married,2119,Yes,7,7
338,29,Travel_Rarely,Research & Development,9,Other,Male,Laboratory Technician,4,Single,3983,No,4,3
339,30,Travel_Rarely,Sales,5,Marketing,Female,Sales Executive,3,Divorced,6118,No,10,10
340,27,Travel_Rarely,Sales,8,Marketing,Female,Sales Executive,2,Married,6214,No,8,8
341,37,Travel_Rarely,Research & Development,5,Medical,Male,Manufacturing Director,4,Divorced,6347,No,8,6
342,38,Travel_Rarely,Research & Development,15,Life Sciences,Male,Research Director,4,Divorced,11510,Yes,12,11
343,31,Travel_Rarely,Research & Development,7,Medical,Female,Manufacturing Director,4,Single,7143,Yes,11,11
344,29,Travel_Rarely,Sales,10,Marketing,Female,Sales Executive,2,Divorced,8268,Yes,7,7
345,35,Travel_Rarely,Research & Development,5,Technical Degree,Male,Manufacturing Director,2,Single,8095,No,17,16
346,23,Travel_Rarely,Research & Development,26,Life Sciences,Male,Research Scientist,4,Divorced,2904,No,4,4
347,41,Travel_Rarely,Research & Development,6,Medical,Male,Manufacturing Director,2,Single,6032,Yes,8,5
348,47,Travel_Frequently,Sales,4,Medical,Male,Sales Representative,3,Single,2976,No,5,0
349,42,Travel_Rarely,Research & Development,23,Life Sciences,Female,Research Director,4,Single,15992,No,16,1
350,29,Non-Travel,Sales,2,Life Sciences,Male,Sales Executive,3,Married,4649,No,4,4
351,42,Travel_Rarely,Human Resources,2,Technical Degree,Male,Human Resources,3,Divorced,2696,Yes,4,3
352,32,Travel_Rarely,Research & Development,2,Medical,Female,Laboratory Technician,2,Married,2370,No,8,8
353,48,Travel_Rarely,Sales,29,Medical,Female,Manager,3,Married,12504,No,15,0
354,37,Travel_Rarely,Research & Development,6,Medical,Male,Research Scientist,1,Divorced,5974,Yes,13,7
355,30,Non-Travel,Sales,25,Technical Degree,Female,Sales Executive,3,Married,4736,Yes,4,2
356,26,Travel_Rarely,Sales,1,Life Sciences,Male,Sales Executive,3,Married,5296,No,8,8
357,42,Travel_Rarely,Research & Development,2,Other,Male,Healthcare Representative,4,Single,6781,No,14,1
358,21,Travel_Frequently,Sales,1,Technical Degree,Female,Sales Representative,2,Single,2174,Yes,3,3
359,36,Non-Travel,Sales,1,Medical,Female,Sales Executive,4,Single,6653,No,7,1
360,36,Travel_Frequently,Sales,3,Medical,Male,Sales Executive,4,Married,9699,No,16,13
361,57,Travel_Rarely,Research & Development,1,Medical,Male,Healthcare Representative,3,Married,6755,No,15,3
362,40,Travel_Rarely,Research & Development,10,Life Sciences,Female,Laboratory Technician,3,Married,2213,Yes,10,7
363,21,Non-Travel,Sales,9,Medical,Male,Sales Representative,4,Single,2610,No,3,3
364,33,Travel_Rarely,Sales,5,Marketing,Female,Sales Representative,3,Single,2851,Yes,1,1
365,37,Travel_Rarely,Research & Development,10,Medical,Female,Laboratory Technician,1,Married,3452,No,17,5
366,46,Non-Travel,Research & Development,7,Medical,Female,Manufacturing Director,3,Married,5258,No,7,1
367,41,Travel_Frequently,Sales,4,Marketing,Male,Sales Executive,2,Single,9355,No,8,8
368,50,Travel_Rarely,Research & Development,10,Technical Degree,Male,Healthcare Representative,4,Single,10496,No,20,4
369,40,Travel_Rarely,Sales,22,Marketing,Male,Sales Executive,3,Married,6380,Yes,8,6
370,31,Travel_Rarely,Research & Development,9,Life Sciences,Male,Research Scientist,2,Single,2657,Yes,3,2
371,21,Travel_Rarely,Sales,12,Life Sciences,Female,Sales Representative,2,Single,2716,No,1,1
372,29,Travel_Rarely,Research & Development,23,Life Sciences,Male,Research Scientist,4,Single,2201,No,6,3
373,35,Travel_Rarely,Research & Development,9,Life Sciences,Male,Healthcare Representative,2,Single,6540,No,10,1
374,27,Travel_Rarely,Research & Development,1,Medical,Male,Laboratory Technician,2,Divorced,3816,No,5,5
375,28,Travel_Rarely,Sales,9,Life Sciences,Male,Sales Executive,4,Single,5253,No,7,7
376,49,Travel_Rarely,Research & Development,7,Other,Male,Healthcare Representative,3,Single,10965,No,26,5
377,51,Travel_Rarely,Sales,14,Life Sciences,Female,Sales Executive,4,Married,4936,No,18,7
378,36,Travel_Rarely,Research & Development,2,Life Sciences,Female,Research Scientist,3,Married,2543,No,6,2
379,34,Non-Travel,Sales,19,Marketing,Male,Sales Executive,4,Single,5304,Yes,9,5
380,55,Travel_Rarely,Research & Development,2,Life Sciences,Female,Manager,4,Single,16659,Yes,30,5
381,24,Travel_Rarely,Sales,10,Marketing,Female,Sales Executive,3,Divorced,4260,Yes,5,5
382,30,Travel_Rarely,Sales,2,Technical Degree,Male,Sales Representative,2,Married,2476,No,1,1
383,26,Travel_Frequently,Research & Development,3,Technical Degree,Male,Research Scientist,1,Single,3102,No,7,6
384,22,Travel_Rarely,Research & Development,11,Medical,Female,Research Scientist,2,Married,2244,No,2,2
385,36,Travel_Rarely,Sales,2,Medical,Male,Sales Executive,3,Married,7596,No,10,10
386,30,Travel_Frequently,Research & Development,4,Technical Degree,Male,Research Scientist,4,Single,2285,Yes,3,1
387,37,Travel_Rarely,Research & Development,14,Life Sciences,Female,Laboratory Technician,1,Divorced,3034,No,18,18
388,40,Travel_Rarely,Sales,2,Marketing,Female,Sales Executive,2,Divorced,5715,No,8,5
389,42,Travel_Rarely,Research & Development,1,Life Sciences,Female,Laboratory Technician,1,Divorced,2576,No,8,5
390,37,Travel_Rarely,Research & Development,10,Life Sciences,Male,Manufacturing Director,2,Single,4197,Yes,18,1
391,43,Travel_Rarely,Research & Development,12,Life Sciences,Male,Research Director,2,Divorced,14336,No,25,25
392,40,Travel_Rarely,Research & Development,2,Medical,Female,Laboratory Technician,3,Married,3448,No,20,1
393,54,Travel_Rarely,Research & Development,5,Medical,Male,Research Director,1,Married,19406,No,24,4
394,34,Non-Travel,Sales,4,Marketing,Female,Sales Executive,3,Married,6538,No,6,3
395,31,Travel_Rarely,Research & Development,7,Medical,Female,Manufacturing Director,1,Married,4306,No,13,13
396,43,Travel_Frequently,Research & Development,21,Medical,Male,Laboratory Technician,4,Married,2258,No,8,3
397,43,Travel_Rarely,Research & Development,8,Other,Female,Healthcare Representative,3,Divorced,4522,Yes,8,5
398,25,Travel_Rarely,Sales,4,Life Sciences,Female,Sales Executive,4,Single,4487,Yes,5,5
399,37,Non-Travel,Research & Development,25,Medical,Female,Research Scientist,3,Married,4449,Yes,15,13
400,31,Travel_Rarely,Research & Development,1,Life Sciences,Male,Laboratory Technician,1,Married,2218,No,4,4
401,39,Travel_Frequently,Research & Development,1,Life Sciences,Male,Manager,3,Divorced,19197,Yes,21,21
402,56,Travel_Frequently,Sales,6,Life Sciences,Female,Sales Executive,1,Married,13212,No,36,7
403,30,Travel_Rarely,Sales,12,Technical Degree,Female,Sales Executive,3,Single,6577,No,6,5
404,41,Travel_Rarely,Sales,1,Marketing,Male,Sales Executive,1,Married,8392,No,10,10
405,28,Travel_Rarely,Research & Development,17,Medical,Male,Laboratory Technician,1,Divorced,4558,No,10,10
406,25,Travel_Rarely,Research & Development,3,Medical,Male,Laboratory Technician,1,Married,4031,No,6,2
407,52,Travel_Rarely,Research & Development,3,Medical,Male,Manufacturing Director,3,Married,7969,Yes,28,5
408,45,Travel_Rarely,Research & Development,10,Life Sciences,Male,Research Scientist,4,Married,2654,No,8,2
409,52,Travel_Rarely,Research & Development,4,Life Sciences,Female,Manager,4,Married,16555,No,31,5
410,42,Travel_Frequently,Research & Development,29,Life Sciences,Female,Research Scientist,3,Divorced,4556,No,19,5
411,30,Travel_Rarely,Research & Development,2,Life Sciences,Female,Manufacturing Director,4,Single,6091,No,11,5
412,60,Travel_Rarely,Research & Development,7,Life Sciences,Female,Manager,1,Married,19566,No,33,29
413,46,Travel_Rarely,Research & Development,18,Medical,Female,Manufacturing Director,3,Divorced,4810,No,19,10
414,42,Travel_Frequently,Research & Development,28,Technical Degree,Female,Healthcare Representative,4,Married,4523,No,7,6
415,24,Travel_Rarely,Sales,1,Technical Degree,Female,Sales Representative,2,Single,3202,Yes,6,5
416,34,Travel_Frequently,Sales,6,Marketing,Female,Sales Representative,3,Divorced,2351,No,3,2
417,38,Travel_Frequently,Research & Development,2,Life Sciences,Male,Laboratory Technician,4,Married,1702,Yes,1,1
418,40,Travel_Rarely,Sales,2,Life Sciences,Female,Manager,3,Married,18041,No,21,20
419,26,Travel_Rarely,Research & Development,23,Life Sciences,Female,Research Scientist,4,Divorced,2886,No,3,3
420,30,Non-Travel,Research & Development,3,Life Sciences,Male,Laboratory Technician,4,Married,2097,No,9,5
421,29,Travel_Rarely,Research & Development,3,Medical,Male,Research Director,3,Married,11935,No,10,10
422,29,Travel_Rarely,Research & Development,25,Technical Degree,Female,Research Scientist,2,Married,2546,No,6,2
423,19,Travel_Rarely,Human Resources,2,Technical Degree,Male,Human Resources,4,Single,2564,No,1,1
424,30,Non-Travel,Sales,22,Other,Female,Sales Executive,1,Married,8412,No,10,9
425,57,Travel_Rarely,Sales,29,Marketing,Male,Manager,4,Divorced,14118,No,32,1
426,50,Travel_Rarely,Research & Development,29,Life Sciences,Male,Manager,3,Married,17046,No,28,27
427,30,Non-Travel,Research & Development,2,Medical,Female,Laboratory Technician,4,Single,2564,No,12,11
428,60,Travel_Frequently,Sales,28,Marketing,Female,Sales Executive,1,Married,10266,No,22,18
429,47,Travel_Rarely,Research & Development,2,Medical,Female,Manufacturing Director,4,Divorced,5070,No,20,5
430,46,Travel_Rarely,Research & Development,2,Life Sciences,Male,Research Director,3,Married,17861,No,26,3
431,35,Travel_Rarely,Research & Development,22,Life Sciences,Male,Laboratory Technician,3,Single,4230,No,6,5
432,54,Travel_Rarely,Research & Development,8,Life Sciences,Female,Laboratory Technician,3,Single,3780,No,19,1
433,34,Travel_Rarely,Research & Development,2,Life Sciences,Male,Research Scientist,3,Divorced,2768,No,14,7
434,46,Travel_Rarely,Sales,10,Marketing,Female,Sales Executive,4,Married,9071,Yes,15,3
435,31,Travel_Rarely,Research & Development,9,Life Sciences,Male,Manufacturing Director,2,Divorced,10648,No,13,13
436,33,Travel_Rarely,Research & Development,15,Medical,Male,Manager,3,Married,13610,Yes,15,7
437,33,Travel_Rarely,Research & Development,10,Medical,Male,Laboratory Technician,4,Divorced,3408,No,8,4
438,30,Travel_Rarely,Sales,7,Marketing,Male,Sales Representative,2,Single,2983,No,4,3
439,35,Travel_Rarely,Research & Development,16,Life Sciences,Male,Healthcare Representative,3,Married,7632,Yes,10,8
440,31,Travel_Frequently,Research & Development,20,Life Sciences,Male,Healthcare Representative,3,Married,9824,No,12,1
441,34,Travel_Frequently,Human Resources,23,Human Resources,Female,Human Resources,1,Divorced,9950,Yes,11,3
442,42,Travel_Frequently,Research & Development,5,Other,Male,Laboratory Technician,3,Married,2093,No,8,2
443,36,Non-Travel,Sales,10,Medical,Male,Sales Executive,4,Single,9980,No,10,10
444,22,Travel_Frequently,Research & Development,4,Technical Degree,Male,Laboratory Technician,3,Single,3894,No,4,2
445,48,Travel_Rarely,Sales,2,Marketing,Female,Sales Executive,4,Married,4051,No,14,9
446,55,Travel_Rarely,Sales,18,Life Sciences,Female,Manager,2,Single,16835,No,37,10
447,41,Non-Travel,Sales,10,Life Sciences,Male,Sales Executive,4,Single,6230,No,16,14
448,35,Travel_Rarely,Sales,1,Marketing,Male,Sales Executive,3,Married,4717,No,15,11
449,40,Travel_Rarely,Research & Development,6,Life Sciences,Female,Manufacturing Director,3,Single,13237,No,22,20
450,39,Travel_Frequently,Research & Development,8,Life Sciences,Female,Laboratory Technician,3,Married,3755,No,8,8
451,31,Travel_Rarely,Sales,2,Life Sciences,Male,Sales Executive,4,Single,6582,Yes,10,6
452,42,Travel_Rarely,Research & Development,24,Medical,Male,Manufacturing Director,1,Married,7406,Yes,10,10
453,45,Travel_Rarely,Sales,2,Other,Male,Sales Executive,2,Married,4805,No,9,8
454,26,Travel_Frequently,Human Resources,17,Life Sciences,Female,Human Resources,3,Divorced,2741,Yes,8,7
455,29,Travel_Rarely,Research & Development,19,Technical Degree,Male,Manufacturing Director,4,Divorced,4262,No,8,3
456,33,Travel_Rarely,Research & Development,1,Medical,Female,Research Director,3,Divorced,16184,No,10,6
457,31,Travel_Rarely,Sales,7,Life Sciences,Male,Manager,4,Divorced,11557,No,10,5
458,18,Travel_Frequently,Sales,5,Marketing,Male,Sales Representative,2,Single,1878,Yes,0,0
459,40,Non-Travel,Sales,28,Other,Male,Sales Executive,1,Divorced,10932,No,20,1
460,41,Non-Travel,Research & Development,2,Other,Female,Healthcare Representative,3,Single,6811,Yes,10,8
461,26,Travel_Rarely,Sales,29,Medical,Male,Sales Executive,3,Divorced,4306,No,8,0
462,35,Travel_Rarely,Sales,1,Medical,Female,Sales Executive,3,Single,4859,No,5,5
463,34,Travel_Rarely,Sales,21,Life Sciences,Male,Sales Executive,4,Single,5337,No,10,10
464,26,Travel_Rarely,Research & Development,24,Technical Degree,Male,Laboratory Technician,4,Single,2340,Yes,1,1
465,37,Travel_Rarely,Research & Development,1,Technical Degree,Female,Manufacturing Director,4,Single,7491,No,12,6
466,46,Travel_Frequently,Research & Development,18,Medical,Female,Healthcare Representative,3,Married,10527,No,28,2
467,41,Travel_Rarely,Sales,2,Life Sciences,Female,Manager,1,Married,16595,No,22,18
468,37,Non-Travel,Sales,9,Medical,Male,Sales Executive,2,Divorced,8834,No,9,9
469,52,Travel_Rarely,Research & Development,6,Technical Degree,Male,Research Scientist,1,Divorced,5577,Yes,18,10
470,32,Non-Travel,Sales,11,Other,Male,Sales Executive,3,Married,4707,No,6,4
471,24,Travel_Frequently,Sales,24,Medical,Male,Sales Representative,4,Married,2400,No,3,2
472,38,Travel_Rarely,Research & Development,10,Medical,Female,Healthcare Representative,3,Married,9824,No,18,1
473,37,Travel_Rarely,Research & Development,1,Life Sciences,Female,Manufacturing Director,2,Married,6447,No,8,6
474,49,Travel_Rarely,Research & Development,18,Life Sciences,Male,Research Director,3,Divorced,19502,Yes,31,31
475,24,Travel_Rarely,Research & Development,23,Medical,Male,Research Scientist,4,Married,2725,Yes,6,6
476,26,Travel_Rarely,Sales,28,Marketing,Male,Sales Executive,2,Married,6272,No,6,5
477,24,Travel_Rarely,Research & Development,17,Other,Male,Laboratory Technician,2,Married,2127,No,1,1
478,50,Travel_Frequently,Human Resources,3,Medical,Male,Manager,2,Married,18200,No,32,32
479,25,Travel_Rarely,Sales,13,Medical,Male,Sales Representative,3,Married,2096,No,7,7
480,24,Travel_Frequently,Research & Development,7,Life Sciences,Female,Laboratory Technician,3,Married,2886,Yes,6,6
481,30,Travel_Frequently,Sales,12,Life Sciences,Male,Sales Representative,1,Married,2033,No,1,1
482,34,Travel_Rarely,Research & Development,1,Life Sciences,Male,Research Scientist,4,Married,3622,Yes,6,6
483,31,Travel_Rarely,Sales,13,Medical,Male,Sales Executive,1,Divorced,4233,No,9,3
484,35,Travel_Rarely,Research & Development,25,Other,Male,Laboratory Technician,4,Single,3681,No,9,3
485,31,Travel_Rarely,Sales,6,Medical,Male,Sales Executive,4,Divorced,5460,No,13,7
486,27,Travel_Rarely,Research & Development,6,Medical,Female,Research Scientist,3,Divorced,2187,No,6,5
487,37,Travel_Rarely,Sales,2,Marketing,Male,Sales Executive,3,Married,9602,Yes,17,3
488,20,Travel_Rarely,Research & Development,1,Life Sciences,Female,Research Scientist,2,Single,2836,No,1,1
489,42,Travel_Rarely,Research & Development,2,Life Sciences,Female,Healthcare Representative,4,Married,4089,No,10,10
490,43,Travel_Rarely,Research & Development,6,Other,Male,Research Director,4,Divorced,16627,Yes,21,1
491,38,Travel_Rarely,Research & Development,1,Life Sciences,Female,Research Scientist,1,Single,2619,No,8,0
492,43,Travel_Frequently,Research & Development,9,Medical,Male,Laboratory Technician,3,Divorced,5679,Yes,10,8
493,48,Travel_Rarely,Research & Development,1,Life Sciences,Female,Manager,1,Married,15402,No,21,3
494,44,Travel_Rarely,Human Resources,1,Life Sciences,Female,Human Resources,3,Single,5985,No,10,2
495,34,Travel_Rarely,Sales,14,Technical Degree,Female,Sales Representative,3,Divorced,2579,Yes,8,8
496,27,Travel_Rarely,Sales,2,Marketing,Male,Sales Representative,1,Divorced,3041,No,5,4
497,21,Travel_Rarely,Sales,22,Technical Degree,Male,Sales Representative,3,Single,3447,No,3,3
498,44,Travel_Rarely,Research & Development,3,Other,Male,Manager,4,Married,19513,Yes,26,2
499,22,Travel_Rarely,Research & Development,6,Medical,Male,Research Scientist,3,Married,2773,No,3,2
500,33,Travel_Rarely,Sales,8,Marketing,Male,Sales Executive,3,Divorced,7104,No,6,5
501,32,Travel_Rarely,Research & Development,9,Life Sciences,Female,Research Scientist,4,Married,6322,Yes,6,6
502,30,Travel_Frequently,Research & Development,3,Medical,Female,Research Scientist,3,Divorced,2083,No,1,1
503,53,Travel_Rarely,Sales,1,Medical,Female,Sales Executive,1,Single,8381,No,18,14
504,34,Travel_Rarely,Research & Development,1,Life Sciences,Male,Research Scientist,4,Married,2691,No,10,10
505,45,Travel_Frequently,Sales,26,Life Sciences,Female,Sales Executive,1,Married,4286,No,5,1
506,26,Travel_Rarely,Research & Development,6,Life Sciences,Female,Laboratory Technician,4,Married,2659,Yes,3,3
507,37,Travel_Rarely,Research & Development,3,Other,Male,Manufacturing Director,3,Married,9434,No,10,10
508,29,Travel_Rarely,Sales,3,Medical,Female,Sales Executive,3,Married,5561,No,6,6
509,35,Travel_Rarely,Research & Development,6,Life Sciences,Male,Research Scientist,4,Single,6646,No,17,17
510,33,Travel_Frequently,Research & Development,6,Life Sciences,Male,Healthcare Representative,4,Divorced,7725,No,15,13
511,54,Travel_Rarely,Human Resources,19,Medical,Male,Human Resources,2,Married,10725,No,16,9
512,36,Travel_Rarely,Research & Development,9,Medical,Male,Manufacturing Director,2,Divorced,8847,Yes,13,3
513,27,Travel_Rarely,Research & Development,3,Medical,Male,Research Scientist,4,Single,2045,No,5,4
514,20,Travel_Rarely,Research & Development,10,Medical,Male,Research Scientist,3,Single,1009,Yes,1,1
515,33,Travel_Frequently,Research & Development,3,Life Sciences,Male,Research Scientist,1,Single,3348,Yes,10,10
516,35,Non-Travel,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,Married,1281,No,1,1
517,23,Travel_Rarely,Research & Development,4,Medical,Male,Research Scientist,1,Married,2819,No,5,3
518,25,Travel_Rarely,Sales,8,Life Sciences,Male,Sales Executive,2,Married,4851,No,4,3
519,38,Travel_Rarely,Sales,7,Marketing,Female,Sales Executive,4,Single,4028,No,8,7
520,29,Travel_Frequently,Research & Development,1,Life Sciences,Male,Research Scientist,4,Divorced,2720,No,10,10
521,48,Travel_Rarely,Sales,2,Marketing,Male,Sales Executive,2,Married,8120,No,12,2
522,27,Travel_Frequently,Sales,3,Medical,Female,Sales Executive,4,Divorced,4647,Yes,6,6
523,37,Travel_Rarely,Research & Development,10,Life Sciences,Male,Research Scientist,4,Single,4680,No,4,1
524,50,Travel_Rarely,Research & Development,28,Medical,Male,Laboratory Technician,3,Married,3221,Yes,20,20
525,34,Travel_Rarely,Research & Development,9,Medical,Female,Healthcare Representative,2,Single,8621,No,9,8
526,24,Travel_Rarely,Sales,3,Life Sciences,Female,Sales Executive,3,Single,4577,No,4,2
527,39,Travel_Rarely,Research & Development,2,Technical Degree,Female,Healthcare Representative,3,Single,4553,No,20,20
528,32,Travel_Rarely,Sales,10,Marketing,Male,Sales Executive,4,Single,5396,No,10,10
529,50,Travel_Frequently,Sales,8,Technical Degree,Male,Sales Executive,3,Married,6796,Yes,18,4
530,38,Travel_Rarely,Research & Development,1,Life Sciences,Female,Healthcare Representative,4,Single,7625,No,10,9
531,27,Travel_Rarely,Research & Development,1,Life Sciences,Female,Manufacturing Director,1,Married,7412,No,9,9
532,32,Travel_Rarely,Research & Development,3,Life Sciences,Female,Research Director,4,Single,11159,No,10,7
533,47,Travel_Rarely,Sales,14,Marketing,Male,Sales Executive,1,Single,4960,No,20,7
534,40,Travel_Frequently,Sales,5,Life Sciences,Male,Sales Executive,1,Married,10475,Yes,20,18
535,53,Travel_Rarely,Research & Development,7,Life Sciences,Male,Research Director,3,Married,14814,No,32,5
536,41,Travel_Rarely,Human Resources,10,Human Resources,Male,Manager,4,Divorced,19141,No,23,21
537,60,Travel_Rarely,Sales,16,Marketing,Male,Sales Executive,1,Single,5405,No,10,2
538,27,Travel_Frequently,Research & Development,10,Life Sciences,Male,Manufacturing Director,1,Divorced,8793,No,9,9
539,41,Travel_Rarely,Human Resources,1,Human Resources,Male,Manager,3,Married,19189,No,22,22
540,50,Travel_Rarely,Sales,8,Marketing,Male,Sales Representative,2,Married,3875,No,4,2
541,28,Travel_Rarely,Research & Development,1,Life Sciences,Female,Research Scientist,2,Single,2216,Yes,10,7
